D_Airport Rating,D_Airport On Time Rating,D_Airport Service Rating,A_Airport Rating,A_Airport On Time Rating,A_Airport Service Rating,D_Delay,Duration,A_Delay,C_Rating,C_Market Share,C_Load Factor,C_On Time Performance Rating,D_DewPointC,D_WindGustKmph,D_cloudcover,D_humidity,D_precipMM,D_pressure,D_tempC,D_visibility,D_winddirDegree,D_windspeedKmph,D_Time,A_DewPointC,A_WindGustKmph,A_cloudcover,A_humidity,A_precipMM,A_pressure,A_tempC,A_visibility,A_winddirDegree,A_windspeedKmph,A_Time,BLR-BOM,BLR-DEL,BOM-DEL,CCU-DEL,DEL-HYD,Air Asia,Air India,Go Air,Indigo,Spicejet,Vistara
7.50,8.60,9.20,7.29,6.20,9.00,6.00,78.00,-20.00,7.40,4.00,86.00,89.10,18.00,37.00,90.00,84.00,0.00,1007.00,21.00,10.00,255.00,27.00,5.00,24.00,37.00,93.00,87.00,6.10,1003.00,27.00,6.00,249.00,19.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,8.00,76.00,-21.00,7.40,4.00,86.00,89.10,19.00,15.00,80.00,84.00,1.20,1012.00,21.00,8.00,91.00,9.00,5.00,24.00,13.00,40.00,80.00,0.20,1010.00,27.00,10.00,21.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,94.00,83.00,74.00,7.40,4.00,86.00,89.10,17.00,5.00,5.00,70.00,0.00,1014.00,23.00,10.00,35.00,4.00,7.00,23.00,8.00,8.00,70.00,0.00,1013.00,29.00,10.00,43.00,6.00,8.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,6.00,77.00,-22.00,7.40,4.00,86.00,89.10,16.00,23.00,45.00,90.00,0.00,1016.00,18.00,10.00,84.00,17.00,5.00,22.00,11.00,64.00,69.00,0.40,1014.00,28.00,10.00,62.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,78.00,-21.00,7.40,4.00,86.00,89.10,20.00,11.00,10.00,71.00,0.00,1009.00,26.00,10.00,244.00,9.00,5.00,24.00,13.00,17.00,79.00,0.00,1009.00,28.00,10.00,332.00,11.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,11.00,79.00,-14.00,7.40,4.00,86.00,89.10,20.00,14.00,55.00,67.00,0.10,1009.00,26.00,10.00,258.00,11.00,5.00,24.00,6.00,21.00,75.00,0.00,1009.00,29.00,10.00,277.00,5.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,79.00,-18.00,7.40,4.00,86.00,89.10,20.00,19.00,19.00,75.00,0.00,1009.00,25.00,10.00,253.00,15.00,5.00,24.00,7.00,32.00,76.00,0.00,1010.00,28.00,10.00,329.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,2.00,78.00,-25.00,7.40,4.00,86.00,89.10,20.00,15.00,12.00,69.00,0.00,1010.00,26.00,10.00,281.00,12.00,5.00,24.00,11.00,30.00,77.00,0.00,1011.00,28.00,10.00,342.00,9.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,4.00,77.00,-22.00,7.40,4.00,86.00,89.10,19.00,15.00,24.00,68.00,0.40,1010.00,26.00,9.00,251.00,11.00,5.00,24.00,12.00,46.00,78.00,0.00,1011.00,28.00,10.00,335.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,0.00,79.00,-25.00,7.40,4.00,86.00,89.10,19.00,16.00,7.00,67.00,0.00,1009.00,26.00,10.00,253.00,12.00,5.00,27.00,12.00,2.00,79.00,0.00,1010.00,31.00,10.00,350.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,17.00,78.00,-9.00,7.40,4.00,86.00,89.10,19.00,14.00,7.00,58.00,0.00,1009.00,28.00,10.00,207.00,11.00,5.00,27.00,11.00,1.00,74.00,0.00,1009.00,32.00,10.00,350.00,10.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,75.00,-24.00,7.40,4.00,86.00,89.10,19.00,15.00,22.00,57.00,0.00,1010.00,28.00,10.00,224.00,12.00,5.00,25.00,15.00,0.00,72.00,0.00,1009.00,31.00,10.00,120.00,14.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,1.00,72.00,-30.00,7.40,4.00,86.00,89.10,19.00,13.00,7.00,60.00,0.00,1009.00,27.00,10.00,227.00,10.00,5.00,27.00,5.00,11.00,79.00,0.00,1008.00,31.00,10.00,113.00,4.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,78.00,-22.00,7.40,4.00,86.00,89.10,19.00,10.00,22.00,60.00,0.00,1009.00,28.00,10.00,269.00,8.00,5.00,26.00,7.00,18.00,80.00,0.00,1009.00,30.00,10.00,293.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,75.00,-21.00,7.40,4.00,86.00,89.10,20.00,11.00,14.00,64.00,0.00,1009.00,27.00,10.00,240.00,9.00,5.00,26.00,10.00,70.00,84.00,0.00,1007.00,29.00,10.00,236.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,80.00,-16.00,7.40,4.00,86.00,89.10,20.00,8.00,11.00,67.00,0.00,1009.00,27.00,10.00,252.00,7.00,5.00,26.00,5.00,38.00,83.00,0.00,1009.00,29.00,10.00,286.00,4.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,75.00,-22.00,7.40,4.00,86.00,89.10,20.00,18.00,14.00,72.00,0.00,1009.00,26.00,10.00,261.00,16.00,5.00,26.00,10.00,18.00,82.00,0.00,1009.00,29.00,10.00,335.00,9.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,4.00,73.00,-26.00,7.40,4.00,86.00,89.10,20.00,20.00,9.00,73.00,0.00,1008.00,26.00,10.00,251.00,16.00,5.00,25.00,8.00,43.00,77.00,0.00,1008.00,29.00,10.00,270.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,2.00,80.00,-22.00,7.40,4.00,86.00,89.10,20.00,15.00,60.00,67.00,0.20,1008.00,27.00,9.00,275.00,12.00,5.00,26.00,8.00,52.00,80.00,0.00,1007.00,29.00,10.00,305.00,7.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,6.00,75.00,-23.00,7.40,4.00,86.00,89.10,21.00,15.00,7.00,70.00,0.00,1007.00,27.00,10.00,250.00,13.00,5.00,26.00,9.00,33.00,80.00,0.00,1007.00,29.00,10.00,326.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,3.00,80.00,-21.00,7.40,4.00,86.00,89.10,20.00,20.00,17.00,73.00,0.00,1007.00,25.00,10.00,266.00,15.00,5.00,25.00,8.00,42.00,81.00,0.00,1006.00,29.00,10.00,281.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-10.00,75.00,-39.00,7.40,4.00,86.00,89.10,21.00,20.00,22.00,72.00,0.20,1006.00,26.00,10.00,274.00,15.00,5.00,26.00,10.00,43.00,81.00,0.00,1006.00,29.00,10.00,244.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,85.00,-14.00,7.40,4.00,86.00,89.10,20.00,25.00,51.00,71.00,0.00,1007.00,25.00,9.00,244.00,20.00,5.00,25.00,9.00,36.00,77.00,0.00,1006.00,30.00,10.00,262.00,7.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,8.00,69.00,-27.00,7.40,4.00,86.00,89.10,12.00,20.00,7.00,62.00,0.00,1015.00,20.00,10.00,100.00,14.00,5.00,19.00,9.00,5.00,64.00,0.00,1014.00,26.00,10.00,349.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,78.00,-17.00,7.40,4.00,86.00,89.10,17.00,13.00,62.00,58.00,0.00,1011.00,26.00,9.00,253.00,11.00,5.00,19.00,13.00,0.00,67.00,0.00,1012.00,26.00,10.00,236.00,11.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,78.00,-21.00,7.40,4.00,86.00,89.10,15.00,10.00,1.00,49.00,0.00,1013.00,27.00,10.00,215.00,8.00,5.00,25.00,3.00,5.00,79.00,0.00,1013.00,29.00,10.00,213.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,6.00,78.00,-20.00,7.40,4.00,86.00,89.10,19.00,12.00,58.00,61.00,0.00,1011.00,27.00,10.00,244.00,10.00,5.00,24.00,8.00,9.00,77.00,0.00,1011.00,29.00,10.00,357.00,7.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,78.00,-16.00,7.40,4.00,86.00,89.10,20.00,20.00,14.00,70.00,0.00,1006.00,26.00,10.00,250.00,15.00,5.00,26.00,12.00,64.00,83.00,0.00,1006.00,30.00,10.00,245.00,9.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,15.00,73.00,-16.00,7.40,4.00,86.00,89.10,18.00,35.00,76.00,74.00,0.00,1007.00,23.00,10.00,248.00,28.00,5.00,24.00,59.00,56.00,79.00,1.80,1001.00,28.00,8.00,242.00,35.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,73.00,-25.00,7.40,4.00,86.00,89.10,18.00,36.00,94.00,81.00,0.00,1007.00,21.00,8.00,259.00,27.00,5.00,25.00,60.00,62.00,82.00,2.00,1002.00,28.00,6.00,260.00,34.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,76.00,-21.00,7.40,4.00,86.00,89.10,18.00,39.00,78.00,78.00,0.00,1007.00,22.00,10.00,262.00,29.00,5.00,24.00,55.00,94.00,83.00,1.70,1002.00,28.00,7.00,245.00,32.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,74.00,-21.00,7.40,4.00,86.00,89.10,19.00,10.00,78.00,83.00,1.20,1012.00,22.00,7.00,292.00,7.00,5.00,24.00,8.00,9.00,77.00,0.00,1010.00,29.00,10.00,53.00,7.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,1.00,76.00,-27.00,7.40,4.00,86.00,89.10,17.00,4.00,21.00,77.00,0.00,1011.00,21.00,10.00,164.00,3.00,5.00,23.00,6.00,17.00,72.00,0.00,1009.00,28.00,10.00,85.00,5.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,4.00,79.00,-21.00,7.40,4.00,86.00,89.10,16.00,19.00,41.00,87.00,0.00,1016.00,18.00,10.00,84.00,15.00,5.00,20.00,14.00,15.00,61.00,0.00,1015.00,28.00,10.00,76.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,96.00,2.00,7.40,4.00,86.00,89.10,20.00,30.00,85.00,81.00,0.00,1007.00,23.00,20.00,254.00,25.00,5.00,24.00,70.00,72.00,74.00,1.20,1002.00,29.00,18.00,198.00,41.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,9.00,85.00,-10.00,7.40,4.00,86.00,89.10,19.00,27.00,73.00,80.00,0.00,1008.00,23.00,20.00,256.00,22.00,5.00,25.00,51.00,86.00,81.00,0.60,1003.00,29.00,18.00,185.00,32.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,3.00,78.00,-23.00,7.40,4.00,86.00,89.10,19.00,24.00,58.00,80.00,0.00,1009.00,22.00,20.00,256.00,19.00,5.00,24.00,53.00,83.00,78.00,2.00,1003.00,29.00,17.00,174.00,31.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,77.00,-20.00,7.40,4.00,86.00,89.10,19.00,24.00,16.00,78.00,0.00,1010.00,23.00,20.00,268.00,19.00,5.00,24.00,36.00,75.00,75.00,0.30,1006.00,29.00,16.00,183.00,25.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,6.00,79.00,-19.00,7.40,4.00,86.00,89.10,18.00,26.00,4.00,75.00,0.00,1010.00,23.00,20.00,263.00,21.00,5.00,24.00,39.00,47.00,76.00,0.10,1006.00,29.00,15.00,194.00,28.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,81.00,-16.00,7.40,4.00,86.00,89.10,18.00,23.00,14.00,74.00,0.00,1009.00,23.00,19.00,260.00,17.00,5.00,25.00,39.00,48.00,79.00,0.10,1005.00,29.00,16.00,190.00,27.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,6.00,76.00,-22.00,7.40,4.00,86.00,89.10,18.00,29.00,24.00,77.00,0.00,1008.00,23.00,18.00,261.00,21.00,5.00,25.00,30.00,52.00,79.00,0.10,1004.00,29.00,15.00,220.00,21.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,12.00,73.00,-20.00,7.40,4.00,86.00,89.10,19.00,28.00,26.00,78.00,0.00,1008.00,23.00,10.00,264.00,21.00,5.00,25.00,10.00,35.00,79.00,0.00,1005.00,29.00,10.00,233.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,8.00,77.00,-18.00,7.40,4.00,86.00,89.10,18.00,28.00,48.00,76.00,0.00,1007.00,23.00,10.00,258.00,22.00,5.00,26.00,15.00,28.00,81.00,0.00,1005.00,29.00,10.00,222.00,13.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,76.00,-18.00,7.40,4.00,86.00,89.10,19.00,27.00,92.00,82.00,0.20,1007.00,22.00,10.00,271.00,21.00,5.00,25.00,10.00,77.00,80.00,0.00,1005.00,29.00,10.00,234.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,4.00,76.00,-23.00,7.40,4.00,86.00,89.10,18.00,29.00,61.00,79.00,0.00,1005.00,22.00,10.00,249.00,22.00,5.00,25.00,12.00,23.00,78.00,0.00,1004.00,29.00,10.00,250.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,12.00,72.00,-19.00,7.40,4.00,86.00,89.10,19.00,27.00,63.00,80.00,0.00,1006.00,22.00,10.00,253.00,20.00,5.00,24.00,14.00,75.00,81.00,0.60,1004.00,28.00,10.00,208.00,10.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,1.00,68.00,-35.00,7.40,4.00,86.00,89.10,18.00,24.00,16.00,79.00,0.00,1008.00,22.00,10.00,255.00,19.00,5.00,25.00,20.00,72.00,81.00,1.60,1005.00,29.00,8.00,178.00,12.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
